GRB,Swift Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90,BAT Fluence (15-150 keV),BAT Photon Index (15-150 keV) (PL = simple power-law),Swift Comments,Redshift,Host Galaxy
130608A,557771,24.597,41.492,151.38,9.0,2.71,UVOT: no detection,-,-
130606A,557589,249.39,29.796,276.58,29.0,1.52,UVOT: no detection,5.91,-
130605A,557508,134.536,-33.477,12.6,26.0,1.58,No prompt event mode data were available as Swift entered the SAA shortly after the burst was detected.,-,-
130604A,557354,250.166,68.225,37.7,14.0,1.51,UVOT: no detection,1.06,-
130603A,557274,86.859,82.91,76.0,19.0,1.83,"Due to an observing constraint, Swift did not slew until T0+49.7 minutes.",-,-
130529A,556930,24.274,-64.143,128.0,14.0,1.56,UVOT: no detection,-,-
130528A,556870,139.405,87.3,59.4,51.0,-,UVOT: no detection,-,-
130527A,556753,309.282,-24.726,44.0,120.0,1.25,UVOT: no detection,-,-
130521A,556344,87.568,14.47,11.0,4.2,2.11,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 05:50 UT on 2013 August 06.",-,-
130514A,555821,296.278,-7.974,204.0,91.0,1.8,UVOT: no detection,3.6,-
130511A,555600,196.654,18.709,5.43,2.2,1.35,-,1.3033,-
130508A,555413,305.351,34.966,42.0,6.6,1.8,"Even though this is a weak detection and it is on the Galactic Plane (lon,lat= 74,-1), we determine that this is probably a GRB, but can not rule out some other type of astrophysical source.  We will need the full data set to make the determination.|UVOT: no detection",-,-
130505A,555163,137.06,17.485,88.0,210.0,1.18,-,2.27,-
130504A,555096,272.459,-16.32,50.0,10.0,-,UVOT: no detection,-,-
130427B,554635,314.9,-22.548,27.0,15.0,1.64,-,2.78,-
130427A,554620,173.15,27.706,162.83,3100.0,1.21,This is an extremely bright burst in all three instruments.,0.34,"Irregular galaxy, with a broadly elliptical shape (William Herschel)."
130420B,553996,183.095,54.376,10.2,6.0,-,UVOT: no detection,-,-
130420A,553977,196.118,59.421,123.5,71.0,-,-,1.297,-
130419A,553918,355.278,9.9,75.7,7.8,1.43,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 00:33 UT on 2013 May 06. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
130418A,553847,149.045,13.674,300.0,18.0,2.07,-,1.218,-
130408A,553132,134.398,-32.363,28.0,23.0,1.28,-,3.758,-
130327A,552063,91.984,55.732,9.0,2.3,2.26,UVOT: no detection,-,-
130315A,551126,157.541,-51.794,233.4,49.0,1.81,UVOT: no detection,-,-
130216A,548927,67.901,14.67,6.5,30.0,-,"Due to a Moon observing constraint, Swift could not slew to the BAT position until 13:16 UT on 2013 February 20.|XRT: No X-ray afterglow is detected inside the refined BAT error circle.|UVIT: no detection",-,-
130215A,548760,43.486,13.387,65.7,54.0,1.59,"Due to a Moon observing constraint, Swift could not slew to the BAT position, thus there are no XRT or UVOT data for this trigger.",0.597,-
130211A,548276,147.524,-42.33,25.1,6.4,1.81,UVOT: no detection,-,-
130206A,547918,140.387,-58.193,128.0,20.0,1.56,"Due to an observing constraint, Swift will did slew until T0+48.5 minutes.",-,-
130131A,547407,171.091,48.064,51.6,3.1,2.12,UVOT: no detection,-,-
130122A,546731,194.307,59.003,64.0,7.4,1.34,-,-,-
130102A,544784,311.435,49.838,77.5,7.2,1.39,-,-,-
121217A,542441,153.708,-62.354,778.0,62.0,1.53,-,-,-
121212A,541371,177.787,78.052,6.8,1.2,2.65,-,-,-
121211A,541200,195.575,30.173,182.0,13.0,2.36,-,1.023,-
121209A,540964,326.8,-8.232,42.7,29.0,1.43,UVOT: no detection,-,"I = 23.2 (Keck I, possible host)"
121202A,540255,256.79,23.942,20.1,12.0,1.59,"Due to an observing constraint, Swift did not slew until T0+44.1 minutes.|UVOT: no detection",-,-
121201A,540178,13.473,-42.929,85.0,7.8,1.9,-,3.385,-
121128A,539866,300.589,54.301,23.3,69.0,1.32,-,2.2,-
121125A,539563,228.519,55.318,52.2,47.0,1.52,-,-,-
121123A,539358,307.334,-11.873,317.0,150.0,-,-,-,-
121117A,538696,31.617,7.432,30.0,14.0,1.16,This burst occurred as the Swift spacecraft was approaching the South Atlantic Anomaly and the source was approaching the Earth Limb observing constraint.,-,-
121108A,537921,83.216,54.52,89.0,9.6,2.28,UVOT: no detection,-,-
121102A,537266,270.896,-16.951,24.7,19.0,1.88,"This event has all appearances of a GRB: hard BAT spectrum, bright XRT initial detection and fading.  Still, we note that the galactic coordinates are l=12 deg, b=2.5 deg, consistent with a galactic origin.  We believe it is a GRB, but can not rule out a new galactic transient.|UVOT: no detection",-,-
121031A,537195,170.772,-3.513,226.0,78.0,1.5,UVOT: no detection,-,-
121027A,536831,63.598,-58.839,62.6,20.0,1.82,UVOT: Possible Detection,1.773,-
121024A,536580,70.481,-12.255,69.0,11.0,1.41,-,2.298,-
121014A,535960,166.645,-29.105,80.0,11.0,1.91,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 05:22 UT on 2012 October 30.",-,-
121011A,535764,260.204,41.123,75.6,27.0,-,-,-,-
121001A,535026,276.029,-5.667,147.0,17.0,1.34,UVOT: no detection,-,-
120927A,534815,136.606,0.42,43.0,26.0,-,UVOT: no detection,-,-
120923A,534402,303.781,6.255,27.2,3.2,-,UVOT: no detection,-,-
120922A,534394,234.758,-20.181,173.0,62.0,-,-,3.1,-
120918A,534015,181.042,-32.762,25.1,37.0,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 17:37 UT on 2012 November 15.",-,-
120913B,533613,213.66,-14.508,126.0,111.0,1.63,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 20:57 UT on 2012 December 14.",-,-
120913A,533568,146.4,26.959,30.1,8.7,2.18,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 22:34 UT on 2012 September 27.",-,-
120911A,533268,357.966,63.09,17.8,11.0,1.71,"Due to an observing constraint, Swift did not slew until T0+51.6 minutes.|UVOT: no detection",-,-
120907A,532871,74.736,-9.323,16.9,6.7,1.73,-,0.97,-
120819A,531428,235.887,-7.304,71.0,14.0,1.49,UVOT: no detection,-,-
120817A,531267,250.692,-38.377,28.2,6.9,1.97,"Due to an observing constraint, Swift did not slew until T0+50.1 minutes.|UVOT: no detection",-,-
120816A,531223,282.133,-6.981,7.6,4.3,2.54,-,-,-
120815A,531003,273.976,-52.125,9.7,4.9,2.29,"Due to an observing constraint, Swift did not slew until T0+40.6 minutes.",2.358,-
120811C,530689,199.69,62.297,26.8,30.0,-,-,2.671,-
120811A,530581,257.184,-22.735,166.0,11.0,1.95,"While the BAT lightcurve and spectral results are consistant with a GRB origin for this trigger, given that the galactic coordinates are (lon,lat)=(0.6,10.3) deg, we cannot rule out a galactic source origin.|XRT: The fact that the XRT source is fading suggests that Swift trigger 530581 is most likely a GRB.|UVOT: no detection",-,-
120807A,530267,241.273,-47.455,20.0,2.9,1.81,UVOT: no detection,-,-
120805A,530031,216.536,5.853,48.0,8.2,1.2,UVOT: no detection,-,-
120803B,529606,314.223,53.298,37.5,25.0,-,-,-,-
120803A,529582,269.531,-6.733,10.0,3.0,0.86,-,-,-
120802A,529486,44.833,13.762,50.0,19.0,-,-,3.796,-
120729A,529095,13.078,49.936,71.5,24.0,1.62,-,0.8,-
120728A,529021,137.085,-54.437,22.06,24.0,1.79,UVOT: no detection,-,-
120724A,528443,245.193,3.535,72.8,6.8,-,-,1.48,AZT-22: possible host
120722A,528195,230.489,13.249,42.4,12.0,1.9,UVOT: no detection,0.9586,-
120714B,526642,355.412,-46.196,159.0,12.0,1.52,-,0.3984,-
120714A,526593,167.975,-30.625,16.2,8.2,1.62,"Due to an observing constraint, Swift did not slew until T0+51 minutes.|UVOT: no detection",-,-
120712A,526351,169.598,-20.051,14.7,18.0,1.36,-,4.0,-
120711B,526270,331.71,59.996,60.0,5.6,1.75,"Contrary to our GCN 13431, we now think that this trigger is very likely GRB, and not a new Galactic source.",-,-
120703A,525671,339.353,-29.726,25.2,35.0,1.51,-,-,-
120701A,525477,80.338,-58.531,13.8,14.0,1.05,There was no initial set of GCN Notices nor a rapid-response circular because of the power outage at GSFC when this burst occurred.,-,-
120624B,525068,170.886,8.933,192.0,283.0,1.17,There were no real-time notices for this event because it occurred during a TDRSS outage. There was no automated slew to this BAT trigger because of a Moon constraint.|Further discussion: GCN 13389|XRT: 2 possible candidates|UVOT: no detection,-,-
120612A,524128,126.723,-17.598,90.0,13.0,1.36,UVOT: no detection,-,-
120521C,522656,214.288,42.144,26.7,11.0,1.73,UVOT: no detection,0.0,-
120521B,522586,197.016,-52.742,31.4,15.0,0.97,UVOT: no detection,-,-
120514A,522197,283.002,-4.258,164.4,28.0,1.62,"This source is 2 degrees from the Galactic plane. Although the BAT lightcurve and energy distribution is typical for a GRB, the possibility of this being a Galactic source will have to be assessed from further observations.|UVOT: no detection",-,-
120422A,520658,136.915,13.974,5.35,2.3,1.19,-,0.28,-
120404A,519380,235.002,12.883,38.7,16.0,1.85,-,2.876,-
120403B,519256,54.302,-89.029,7.3,2.1,1.79,"Because of an observing constraint, the slew to the burst was delayed by 12.9 minutes.|UVOT: no detection",-,-
120328A,518792,241.607,-39.322,24.2,4.7,1.87,-,-,-
120327A,518731,246.854,-29.415,62.9,36.0,1.52,-,2.81,-
120326A,518626,273.906,69.248,69.6,26.0,-,-,1.798,-
120324A,518507,291.081,24.14,118.0,101.0,1.34,UVOT: no detection,-,-
120320A,518200,212.517,8.682,25.74,5.9,-,-,-,-
120312A,517566,251.812,23.881,14.2,5.7,1.72,UVOT: no detection,-,-
120311B,517489,258.551,-13.068,28.2,10.0,1.96,"Due to an observing constraint, Swift did not slew until T0+49.0 minutes.|UVOT: no detection",-,-
120308A,517234,219.123,79.674,60.6,12.0,1.71,-,-,-
120224A,515976,40.937,-17.779,8.13,2.4,2.25,UVOT: no detection,-,-
120219A,515375,129.862,51.006,90.5,5.4,-,UVOT: no detection,-,-
120218A,515277,319.7641,-25.4626,27.5,53.0,1.75,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 19:14 UT on 2012 March 20.",-,-
120215A,515015,30.057,8.79,26.5,4.0,1.62,UVOT: no detection,-,-
120213A,514767,300.987,65.413,48.9,19.0,2.37,UVOT: no detection,-,-
120212A,514709,43.086,-18.043,5.52,5.1,2.05,"Due to an observing constraint, Swift did not slew until T0+44.6 minutes.",-,-
120211A,514586,87.781,-24.795,61.7,8.1,1.5,UVOT: no detection,-,-
120121A,512164,249.363,-23.963,26.1,11.0,1.23,UVOT: no detection,-,-
120119A,512035,120.029,-9.076,253.8,170.0,1.38,-,1.728,-
120118B,512003,124.862,-7.178,23.26,18.0,2.08,UVOT: no detection,2.943,I = 23.8 (Keck I)
120116A,511866,16.24,33.927,41.0,29.0,-,UVOT: no detection,-,-
120106A,511235,66.129,64.05,61.6,9.7,1.53,-,-,-
120102A,510922,276.224,24.713,38.7,43.0,1.59,-,-,-
111229A,510736,76.561,-84.687,25.4,3.4,1.85,-,1.3805,-
111228A,510649,150.063,18.284,101.2,85.0,2.27,-,0.714,-
111225A,510341,13.158,51.573,106.8,13.0,1.7,-,-,-
111215A,509717,349.582,32.44,796.0,45.0,1.7,-,-,-
111204A,509018,336.651,-31.414,48.0,4.7,1.83,-,-,-
111129A,508712,307.415,-52.722,7.6,1.8,2.56,-,-,-
111123A,508319,154.845,-20.639,290.0,73.0,1.68,-,3.1516,"g=25.83, I = 23.55 (Keck I), VLT"
111121A,508161,154.746,-46.67,119.0,22.0,1.66,UVOT: no detection,-,-
111109A,507342,118.248,-41.588,13.0,2.4,1.86,"Due to an observing constraint, Swift did not slew until T0+49.2 minutes.",-,-
111107A,507185,129.487,-66.52,26.6,8.8,1.49,-,2.893,-
111103B,506903,265.691,1.605,167.0,80.0,1.41,-,-,-
111103A,506902,327.111,-10.532,11.6,14.0,1.3,"Due to a Moon observing constraint, Swift cannot slew to the BAT position until 20:12 UT on 2011 November 05.",-,-
111029A,506519,44.785,57.101,7.6,3.9,-,UVOT: no detection,-,-
111022B,506074,108.927,49.663,79.1,9.0,1.59,-,-,-
111022A,506070,275.871,-23.666,24.7,20.0,-,"Swift entered the SAA shortly after detecting this burst, so there are no prompt UVOT data products for this burst.|UVOT: no detection",-,-
111018A,505801,271.482,-3.88,36.0,4.0,2.18,UVOT: no detection,-,-
111016A,505646,153.826,27.474,550.0,40.0,1.95,-,-,-
111008A,505054,60.439,-32.708,63.46,53.0,1.86,-,5.0,-
111005A,504779,223.315,-19.722,26.0,6.2,2.03,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 18:03 UT on 2011 December 25. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
110928A,504215,257.745,36.547,26.7,6.9,1.09,"Due to an observing constraint, Swift will not slew until T0+52 minutes.|UVOT: no detection",-,-
110921A,503652,294.094,36.355,48.0,24.0,1.57,-,-,-
110915A,503219,310.83,-0.713,78.76,57.0,-,UVOT: no detection|Konus-Wind/BAT joint analysis: GCN 12358,-,-
110827A,501520,164.059,53.817,8.5,1.8,1.24,Because of the Sun constraint Swift did not observe the burst with its narrow field instruments. No further observations of this burst are planned,-,-
110820A,501095,343.203,70.298,256.0,8.2,1.92,UVOT: no detection,-,-
110818A,500914,317.373,-63.981,103.0,40.0,1.58,UVOT: no detection,3.36,-
110808A,458918,57.322,-44.177,48.0,3.3,2.32,-,1.348,-
110801A,458521,89.415,80.958,385.0,47.0,1.84,-,1.858,-
110731A,458448,280.513,-28.536,38.8,60.0,1.15,-,2.83,-
110726A,458059,286.713,56.07,5.2,2.2,-,-,1.036,-
110719A,457553,24.57,34.578,41.0,18.0,1.63,-,-,-
110715A,457330,237.665,-46.237,13.0,118.0,-,-,0.82,-
110709B,456967|456969,164.668,-23.47,55.6,94.0,1.29,"BAT: detected renewed activity at T+11 min (trigger 456969). RA: 164.655, Dec: -23.456. See GCN 12144 for details.|BATSS: burst detection from Swift-BAT slew data (GCN 12143)|UVOT: no detection",-,-
110709A,456939,238.895,40.918,44.7,100.0,1.24,UVOT: no detection,-,-
110625A,456073,286.751,6.755,44.5,280.0,1.44,-,-,-
110610A,455155,308.205,74.827,46.4,49.0,1.51,"UVOT: no detection, due to a bright star in the field of view, UVOT products were delayed.",-,-
110530A,454473,282.045,61.953,19.6,3.3,2.06,-,-,Possible host (Zeiss-2000)
110521A,453788,120.132,45.818,13.8,4.4,0.9,UVOT: no detection,-,-
110520A,453747,134.363,56.418,15.7,11.0,1.13,UVOT: no detection,-,-
110519A,453628,261.638,-23.426,27.2,40.0,2.09,"Due to a Moon observing constraint, Swift cannot slew to the BAT position until 23:19 UT on 2011 May 20. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
110503A,452685,132.799,52.211,10.0,100.0,-,-,1.613,-
110422A,451901,112.057,75.1,25.9,410.0,-,-,1.77,-
110420A,451757,2.164,-37.877,11.8,59.0,2.3,-,-,-
110414A,451343,97.876,24.349,152.0,35.0,1.7,UVOT: no detection,-,-
110412A,451191,133.491,13.488,23.4,18.0,1.54,"Due to a Moon observing constraint, Swift cannot slew to the BAT position until 15:08 UT on 2011 April 14. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
110411A,451165,291.427,67.706,80.3,33.0,1.51,UVOT: no detection,-,-
110407A,450884,186.022,15.726,145.0,17.0,-,UVOT: no detection,-,-
110402A,450545,197.432,61.247,60.9,34.0,1.59,-,-,-
110319B,Ground Analysis,326.088,-56.774,14.5,10.0,1.39,UVOT: no detection,-,-
110319A,449578,356.51,-66.008,19.3,14.0,-,-,-,-
110318A,449542,338.292,-15.278,16.0,49.0,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 05:00 UT on 2011 April 11. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
110315A,449399,279.205,17.537,77.0,41.0,1.77,-,-,-
110312A,449074,157.5,-5.259,28.7,8.2,2.32,UVOT: no detection,-,-
110305A,448229,260.877,-15.81,12.0,8.0,1.62,UVOT: no detection,-,-
110223B,446677,150.34,-68.329,54.0,6.1,1.65,-,-,-
110223A,446674,345.386,87.586,7.0,1.6,1.7,-,-,-
110213A,445414,42.978,49.278,48.0,59.0,1.83,-,1.46,-
110210A,445141,13.108,7.778,233.0,9.6,1.73,-,-,-
110208A,445038,22.487,-20.561,37.4,2.7,2.08,UVOT: no detection,-,-
110207A,444912,12.54,-10.79,80.3,16.0,1.3,"Due to a Moon observing constraint, Swift could not slew to the BAT position until 13:20 UT on 2011 February 08.|XRT: Due to the proximity of the GRB to the Sun, no further observations are planned.",-,-
110205A,444643,164.603,67.533,257.0,170.0,1.8,-,1.98,-
110201A,444230,137.489,88.61,13.0,7.0,1.09,UVOT: no detection,-,-
110128A,443861,193.871,28.108,30.7,7.2,1.31,-,2.339,-
110119A,442978,348.589,5.982,208.0,70.0,1.44,-,-,-
110106B,441676,134.155,47.005,24.8,20.0,1.76,-,-,-
110102A,441454,245.877,7.617,264.0,165.0,1.6,-,-,-
101225A,441015,0.2037,44.5739,1088.0,19.0,1.82,-,0.0,"R = 24.1 (NOT, possible host)"
101219B,440635,12.259,-34.556,34.0,21.0,1.56,-,0.5519,UVW2 = 23.4 (Swift-UVOT: likely host)
101213A,440285,241.297,21.905,135.0,50.0,1.53,UVOT: no detection,-,-
101117B,438675,172.991,-72.651,5.2,11.0,1.5,-,-,-
101114A,438392|Ground Analysis,303.193,14.029,10.0,8.0,1.29,Burst found during ground analysis.|UVOT: no detection,-,-
101030A,437408,166.39,-16.389,92.0,20.0,1.82,UVOT: no detection,-,-
101024A,437016,66.465,-77.261,18.7,15.0,-,-,-,-
101023A,436981,317.949,-65.389,80.8,270.0,-,-,-,-
101020A,436737,189.607,23.129,175.0,26.0,2.04,"Due to an Sun observing constraint, Swift cannot slew to the BAT position until 17:41 UT on 2010 November 02. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
101017A,436429,291.377,-35.141,70.0,180.0,1.45,-,-,-
101011A,436094,48.274,-65.99,71.5,14.0,1.24,-,-,-
101008A,435903,328.882,37.06,104.0,11.0,1.59,"Due to an observing constraint, Swift did not slew until T0+50.8 minutes.|UVOT: no detection",-,-
100924A,434843,0.672,7.004,96.0,83.0,1.53,"Due to an Moon observing constraint, Swift cannot slew to the BAT position until 13:21 UT on 2010 September 25. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
100917A,434360,289.25,-17.12,66.0,8.6,1.67,"Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger. This trigger will be in moon constraint until approximately 06:30 UT on the 19th of September.",-,-
100915A,434178,315.664,65.676,200.0,15.0,1.5,UVOT: no detection,-,-
100906A,433509,28.697,55.634,114.4,120.0,1.78,-,1.727,-
100904A,433273,172.907,-16.185,31.3,13.0,1.67,"Due to the proximity of the burst to the Sun, Swift cannot slew to the BAT position. The burst does not become observable by Swift until November 7th; there will thus be no XRT or UVOT data for this trigger.",-,-
100902A,433160,48.626,30.97,428.8,32.0,1.98,UVOT: no detection,4.5,-
100901A,433065,27.252,22.751,439.0,21.0,1.52,-,1.408,-
100823A,432420,20.706,5.848,16.9,4.1,2.19,-,-,-
100814A,431605,22.479,-17.99,174.5,90.0,1.47,UVOT: Interesting optical/UV lightcurve see GCN 11107 for details.,1.44,-
100807A,431128,55.283,67.665,7.9,3.4,2.32,UVOT: no detection,-,-
100805A,430957,299.846,52.618,15.0,5.1,1.76,-,-,-
100802A,430603,2.482,47.752,487.0,36.0,1.85,-,-,-
100728B,430172,44.051,0.296,12.1,17.0,1.55,UVOT: The non-detection in the UV filters suggests a photometric redshift of  z~2.8,2.106,-
100728A,430151,88.753,-15.259,198.5,380.0,1.18,UVOT: no detection,1.567,r' = 25.0 +/- 0.2 (GROND)
100727A,430094,154.187,-21.417,84.0,12.0,1.81,UVOT: no detection,-,-
100725B,429969,290.029,76.955,200.0,68.0,1.89,UVOT: no detection,-,-
100725A,429954,166.468,-26.667,141.0,20.0,1.23,UVOT: no detection,-,-
100719A,429357,112.319,-5.857,36.0,5.3,1.69,"The source will remain in Sun constraint until August 27, and therefore there will be no XRT or UVOT observations.|XRT: no detection|UVOT: no detection",-,-
100704A,426722,133.639,-24.202,197.5,60.0,1.73,UVOT: no detection,3.6,-
100621A,425151,315.309,-51.102,63.6,210.0,1.9,-,0.542,-
100619A,424998,84.618,-27.012,97.5,45.0,1.83,UVOT: no detection,-,-
100615A,424733,177.208,-19.483,39.0,50.0,1.87,UVOT: no detection,1.398,"HST, VLT"
100614A,424716,263.534,49.232,225.0,27.0,1.88,UVOT: no detection,-,-
100606A,424031,350.617,-66.234,480.0,64.0,1.35,-,-,"r~25 (Gemini-South), g' and r' detections (MPI/ESO)"
100526B,423184,0.777,-37.913,64.0,4.7,1.47,"Due to an observing constraint, Swift did not slew until T0+54 minutes.",-,-
100526A,423181,230.792,25.623,102.0,25.0,1.83,UVOT: no detection,-,Gemini-North
100522A,422783,6.99,9.397,35.3,21.0,1.89,UVOT: no detection,-,-
100514A,421962,328.821,29.17,26.2,-,-,UVOT: Marginal (2.6-sigma) detection of the afterglow.,-,-
100513A,421814,169.606,3.617,84.0,14.0,1.62,UVOT: no detection,4.772,-
100508A,421386,76.263,-20.744,52.0,7.0,1.23,-,-,-
100504A,421124,255.575,-35.59,97.3,24.0,1.76,-,-,-
100425A,420398,299.161,-26.463,37.0,4.7,2.42,UVOT: no detection,1.755,-
100424A,420367,209.453,1.512,104.0,15.0,1.83,UVOT: no detection,2.465,"g = 26 (AB), I = 24.4 (Keck I)"
100420A,419932,296.09,55.755,48.0,5.7,1.17,UVOT: no detection,-,-
100418A,419797,256.358,11.457,7.0,3.4,2.16,UVOT: possible evidence for a supernova,0.6235,"g,r,and i bands (SDSS)"
100413A,419404,266.223,15.835,191.0,62.0,1.25,UVOT: no detection,3.9,-
